('MEIP', [0.0048977366899362372, 0.083319720932448396])
('GK', [-9.6366048339539313e-05, 0.024810812583563907])
('REMY', [2.8188037310987614e-05, 0.036640144270848177])
('JNP', [0.0016416227593319581, 0.059030468556344667])
('SABR', [-0.0014072221383321381, 0.015444038055034661])
('MAT', [3.8877467487010932e-06, 0.025481565439194602])
('AXAS', [0.0014244888952700482, 0.050602415132407902])
('UIHC', [0.00018205684527366784, 0.037862299507092273])
('NYH', [-0.00012099772448363802, 0.011950439302397732])
('EBMT', [-0.00032666615912251928, 0.019620017401313885])
('XRAY', [-0.00045328063166571813, 0.018287531593018838])
('AMCN', [0.0018226590452767816, 0.045871249853219206])
('ACLS', [0.0019345334107979545, 0.057639567035068187])
('MBSD', [-7.211632388716985e-05, 0.0017818015548571313])
('MAG', [0.00072293477861376661, 0.035700053340351895])
('AMCF', [0.0037674354602187394, 0.061695261718125026])
('AMCC', [0.00096168223263998415, 0.04473812169014918])
('SIF', [0.00033739882607000844, 0.030986565572797272])
('EVI', [0.0016445260623209582, 0.064034342177780201])
('JBSS', [0.00035867226929189514, 0.035737429533798708])
('EVK', [0.0012922943998024325, 0.048228682251715407])
('CRTO', [-0.00029824223632018423, 0.035442443605936347])
('CRTN', [0.0023219047889659092, 0.052424488658514803])
('EVO', [-0.00014246588690820016, 0.010842827117412787])
('NMZ', [-0.00015640755790065811, 0.013168508035282777])
('GTIM', [0.0024205206912837557, 0.068167341147043883])
('TOPS', [0.0038684514633118496, 0.051617645883713557])
('BSRR', [0.00014030096286998101, 0.029209985608032358])
('DSWL', [0.00033939539438068966, 0.0291068943025658])
('EVP', [-0.00011936875538201468, 0.011056285294880584])
('ICUI', [-9.9824781941865152e-05, 0.029103707041225776])
('GAIA', [0.00063131745861743911, 0.036504326297503241])
('EVV', [-0.00014783993472648646, 0.01158613393774075])
('LSG', [0.0013379451996636757, 0.047420098977105675])
('GHDX', [6.9130506802286292e-05, 0.028503371692438065])
('TTS', [0.00052966742640801366, 0.038322630608399195])
('GPIAU', [-0.00024238096275439863, 0.0046539757459914339])
('WWWW', [0.00034016409401785031, 0.038164524998891766])
('IPWR', [-6.3066415199558066e-05, 0.038742178957509317])
('SIM', [0.00094687700492498126, 0.042491417743192622])
('PFIE', [0.0029680751015087295, 0.11327500700846441])
('WSBF', [0.00065086999365301056, 0.039339902190194398])
('SAL', [-9.6776826800284822e-05, 0.015844022286041228])
('WSBC', [3.041515440226912e-05, 0.023963059571758708])
('USLV', [0.0052927996210904498, 0.056637005608150097])
